date,CO,PM10,SO2,NO2,O3,PM2.5
20200101,1.5,77.0,24.0,57.0,9.0,54.0
20200101,1.3,84.0,21.0,56.0,8.0,51.0
20200101,1.5,97.0,24.0,58.0,8.0,55.0
20200101,1.6,107.0,29.0,62.0,9.0,60.0
20200101,1.5,109.0,26.0,60.0,9.0,59.0
20200101,1.6,122.0,30.0,58.0,9.0,61.0
20200101,1.7,124.0,38.0,62.0,10.0,68.0
20200101,2.1,133.0,46.0,64.0,11.0,91.0
20200101,2.6,160.0,43.0,67.0,12.0,97.0
20200101,2.4,141.0,36.0,69.0,12.0,83.0
20200101,2.5,161.0,36.0,77.0,12.0,105.0
20200101,2.9,162.0,59.0,76.0,12.0,87.0
20200101,3.1,143.0,58.0,67.0,15.0,71.0
20200101,2.1,126.0,35.0,64.0,18.0,59.0
20200101,1.5,107.0,28.0,63.0,20.0,60.0
20200101,1.2,105.0,24.0,61.0,20.0,53.0
20200101,1.3,108.0,25.0,62.0,17.0,55.0
20200101,1.2,99.0,23.0,67.0,13.0,62.0
20200101,1.4,115.0,25.0,74.0,9.0,58.0
20200101,1.5,131.0,30.0,77.0,8.0,79.0
20200101,2.2,166.0,44.0,85.0,11.0,107.0
20200101,2.5,186.0,47.0,93.0,12.0,134.0
20200101,2.6,181.0,45.0,96.0,12.0,120.0
20200101,2.4,172.0,40.0,94.0,11.0,122.0
20200102,3.3,168.0,44.0,90.0,10.0,135.0
20200102,2.6,179.0,43.0,92.0,9.0,118.0
20200102,3.6,197.0,44.0,90.0,11.0,148.0
20200102,4.3,257.0,48.0,87.0,13.0,162.0
20200102,4.1,231.0,50.0,89.0,12.0,145.0
20200102,4.1,233.0,56.0,95.0,11.0,149.0
20200102,4.4,238.0,58.0,93.0,11.0,140.0
20200102,3.5,230.0,58.0,91.0,13.0,145.0
20200102,2.6,170.0,44.0,76.0,11.0,115.0
20200102,2.5,170.0,39.0,75.0,12.0,97.0
20200102,2.0,145.0,33.0,69.0,12.0,97.0
20200102,1.4,124.0,22.0,54.0,18.0,80.0
20200102,1.2,129.0,20.0,55.0,23.0,58.0
20200102,1.2,101.0,18.0,51.0,27.0,59.0
20200102,1.0,76.0,16.0,50.0,26.0,53.0
20200102,0.9,81.0,14.0,51.0,23.0,44.0
20200102,1.0,95.0,14.0,60.0,14.0,46.0
20200102,1.2,114.0,19.0,62.0,10.0,54.0
20200102,1.4,122.0,22.0,68.0,9.0,62.0
20200102,1.4,117.0,24.0,66.0,8.0,78.0
20200102,1.6,127.0,26.0,67.0,9.0,76.0
20200102,1.3,107.0,24.0,65.0,8.0,60.0
20200102,2.4,138.0,33.0,69.0,10.0,97.0
20200102,3.5,172.0,48.0,74.0,11.0,122.0
20200103,2.9,158.0,41.0,74.0,9.0,109.0
20200103,3.0,133.0,31.0,70.0,9.0,97.0
20200103,3.8,174.0,40.0,80.0,10.0,100.0
20200103,2.7,161.0,36.0,84.0,10.0,98.0
20200103,3.1,171.0,36.0,80.0,10.0,110.0
20200103,2.7,171.0,35.0,78.0,10.0,122.0
20200103,3.2,204.0,43.0,86.0,11.0,122.0
20200103,3.9,275.0,50.0,117.0,12.0,180.0
20200103,5.0,320.0,60.0,164.0,14.0,200.0
20200103,5.0,300.0,54.0,125.0,13.0,204.0
20200103,4.4,294.0,56.0,106.0,12.0,181.0
20200103,3.8,251.0,49.0,100.0,12.0,173.0
20200103,2.4,175.0,27.0,80.0,15.0,101.0
20200103,1.3,93.0,16.0,62.0,24.0,47.0
20200103,1.3,103.0,16.0,71.0,20.0,54.0
20200103,1.3,105.0,16.0,78.0,17.0,56.0
