date,PM2.5,PM10,SO2,NO2,O3,CO
20200101,54.0,77.0,24.0,57.0,9.0,1.5
20200101,51.0,84.0,21.0,56.0,8.0,1.3
20200101,55.0,97.0,24.0,58.0,8.0,1.5
20200101,60.0,107.0,29.0,62.0,9.0,1.6
20200101,59.0,109.0,26.0,60.0,9.0,1.5
20200101,61.0,122.0,30.0,58.0,9.0,1.6
20200101,68.0,124.0,38.0,62.0,10.0,1.7
20200101,91.0,133.0,46.0,64.0,11.0,2.1
20200101,97.0,160.0,43.0,67.0,12.0,2.6
20200101,83.0,141.0,36.0,69.0,12.0,2.4
20200101,105.0,161.0,36.0,77.0,12.0,2.5
20200101,87.0,162.0,59.0,76.0,12.0,2.9
20200101,71.0,143.0,58.0,67.0,15.0,3.1
20200101,59.0,126.0,35.0,64.0,18.0,2.1
20200101,60.0,107.0,28.0,63.0,20.0,1.5
20200101,53.0,105.0,24.0,61.0,20.0,1.2
20200101,55.0,108.0,25.0,62.0,17.0,1.3
20200101,62.0,99.0,23.0,67.0,13.0,1.2
20200101,58.0,115.0,25.0,74.0,9.0,1.4
20200101,79.0,131.0,30.0,77.0,8.0,1.5
20200101,107.0,166.0,44.0,85.0,11.0,2.2
20200101,134.0,186.0,47.0,93.0,12.0,2.5
20200101,120.0,181.0,45.0,96.0,12.0,2.6
20200101,122.0,172.0,40.0,94.0,11.0,2.4
20200102,135.0,168.0,44.0,90.0,10.0,3.3
20200102,118.0,179.0,43.0,92.0,9.0,2.6
20200102,148.0,197.0,44.0,90.0,11.0,3.6
20200102,162.0,257.0,48.0,87.0,13.0,4.3
20200102,145.0,231.0,50.0,89.0,12.0,4.1
20200102,149.0,233.0,56.0,95.0,11.0,4.1
20200102,140.0,238.0,58.0,93.0,11.0,4.4
20200102,145.0,230.0,58.0,91.0,13.0,3.5
20200102,115.0,170.0,44.0,76.0,11.0,2.6
20200102,97.0,170.0,39.0,75.0,12.0,2.5
20200102,97.0,145.0,33.0,69.0,12.0,2.0
20200102,80.0,124.0,22.0,54.0,18.0,1.4
20200102,58.0,129.0,20.0,55.0,23.0,1.2
20200102,59.0,101.0,18.0,51.0,27.0,1.2
20200102,53.0,76.0,16.0,50.0,26.0,1.0
20200102,44.0,81.0,14.0,51.0,23.0,0.9
20200102,46.0,95.0,14.0,60.0,14.0,1.0
20200102,54.0,114.0,19.0,62.0,10.0,1.2
20200102,62.0,122.0,22.0,68.0,9.0,1.4
20200102,78.0,117.0,24.0,66.0,8.0,1.4
20200102,76.0,127.0,26.0,67.0,9.0,1.6
20200102,60.0,107.0,24.0,65.0,8.0,1.3
20200102,97.0,138.0,33.0,69.0,10.0,2.4
20200102,122.0,172.0,48.0,74.0,11.0,3.5
20200103,109.0,158.0,41.0,74.0,9.0,2.9
20200103,97.0,133.0,31.0,70.0,9.0,3.0
20200103,100.0,174.0,40.0,80.0,10.0,3.8
20200103,98.0,161.0,36.0,84.0,10.0,2.7
20200103,110.0,171.0,36.0,80.0,10.0,3.1
20200103,122.0,171.0,35.0,78.0,10.0,2.7
20200103,122.0,204.0,43.0,86.0,11.0,3.2
20200103,180.0,275.0,50.0,117.0,12.0,3.9
20200103,200.0,320.0,60.0,164.0,14.0,5.0
20200103,204.0,300.0,54.0,125.0,13.0,5.0
20200103,181.0,294.0,56.0,106.0,12.0,4.4
20200103,173.0,251.0,49.0,100.0,12.0,3.8
20200103,101.0,175.0,27.0,80.0,15.0,2.4
20200103,47.0,93.0,16.0,62.0,24.0,1.3
20200103,54.0,103.0,16.0,71.0,20.0,1.3
20200103,56.0,105.0,16.0,78.0,17.0,1.3
20200103,55.0,107.0,16.0,83.0,15.0,1.2
20200103,81.0,140.0,24.0,91.0,10.0,1.6
20200103,97.0,156.0,25.0,95.0,11.0,1.8
20200103,111.0,163.0,25.0,92.0,9.0,1.8
20200103,121.0,177.0,31.0,96.0,10.0,2.1
20200103,131.0,194.0,48.0,101.0,11.0,2.6
20200103,126.0,175.0,40.0,99.0,11.0,2.5
20200103,97.0,186.0,35.0,92.0,10.0,2.4
20200104,116.0,175.0,30.0,91.0,8.0,2.3
20200104,115.0,187.0,36.0,93.0,8.0,2.6
20200104,126.0,191.0,34.0,94.0,8.0,2.6
20200104,118.0,189.0,30.0,97.0,8.0,2.7
20200104,147.0,220.0,34.0,98.0,8.0,2.8
20200104,135.0,210.0,32.0,98.0,8.0,2.7
20200104,137.0,218.0,33.0,101.0,9.0,2.8
20200104,135.0,188.0,30.0,95.0,10.0,2.5
20200104,162.0,231.0,38.0,95.0,11.0,3.2
20200104,175.0,251.0,44.0,102.0,12.0,3.8
20200104,152.0,251.0,50.0,105.0,12.0,4.3
20200104,55.0,96.0,29.0,67.0,18.0,2.3
20200104,41.0,70.0,26.0,54.0,31.0,2.0
20200104,23.0,57.0,33.0,43.0,43.0,1.6
20200104,24.0,54.0,40.0,48.0,43.0,2.1
20200104,18.0,49.0,17.0,28.0,59.0,0.9
20200104,24.0,43.0,13.0,38.0,52.0,0.8
20200104,32.0,52.0,14.0,56.0,30.0,0.9
20200104,45.0,77.0,16.0,58.0,26.0,0.8
20200104,51.0,104.0,17.0,62.0,20.0,0.8
20200104,50.0,61.0,18.0,50.0,31.0,0.7
20200104,44.0,61.0,16.0,38.0,40.0,0.6
20200104,43.0,60.0,20.0,44.0,33.0,0.7
20200104,45.0,95.0,37.0,57.0,20.0,2.1
20200105,54.0,117.0,32.0,72.0,8.0,6.3
20200105,50.0,98.0,29.0,75.0,6.0,3.4
20200105,56.0,98.0,50.0,74.0,6.0,3.4
20200105,59.0,123.0,84.0,72.0,8.0,3.5
20200105,64.0,131.0,77.0,69.0,8.0,3.6
20200105,61.0,120.0,78.0,71.0,8.0,4.2
20200105,80.0,120.0,83.0,72.0,8.0,4.9
20200105,81.0,139.0,87.0,72.0,8.0,5.5
20200105,97.0,157.0,113.0,77.0,9.0,6.9
20200105,94.0,190.0,136.0,82.0,10.0,8.1
20200105,103.0,184.0,139.0,84.0,11.0,8.5
20200105,84.0,170.0,107.0,80.0,14.0,5.7
20200105,67.0,132.0,70.0,69.0,18.0,3.4
20200105,59.0,95.0,50.0,56.0,28.0,2.1
20200105,56.0,92.0,32.0,51.0,29.0,1.3
20200105,47.0,106.0,34.0,52.0,29.0,1.2
20200105,47.0,116.0,38.0,62.0,20.0,1.2
20200105,47.0,99.0,32.0,67.0,15.0,1.3
20200105,53.0,105.0,26.0,71.0,10.0,1.4
20200105,55.0,101.0,27.0,67.0,11.0,1.6
20200105,55.0,97.0,43.0,70.0,8.0,1.4
20200105,57.0,97.0,31.0,68.0,7.0,1.4
20200105,51.0,70.0,20.0,44.0,25.0,0.8
20200105,42.0,54.0,14.0,25.0,43.0,0.6
20200106,35.0,40.0,12.0,14.0,51.0,0.6
20200106,36.0,52.0,14.0,31.0,31.0,1.1
20200106,45.0,79.0,16.0,54.0,13.0,1.3
20200106,54.0,95.0,16.0,59.0,7.0,1.9
20200106,63.0,95.0,23.0,66.0,6.0,2.4
20200106,62.0,95.0,25.0,60.0,7.0,2.2
20200106,60.0,75.0,26.0,60.0,6.0,2.5
20200106,64.0,90.0,28.0,60.0,5.0,3.4
20200106,66.0,93.0,28.0,61.0,6.0,3.3
20200106,92.0,100.0,35.0,61.0,7.0,3.7
20200106,94.0,118.0,36.0,66.0,8.0,4.1
20200106,105.0,151.0,30.0,73.0,8.0,4.0
20200106,129.0,150.0,27.0,74.0,11.0,3.8
20200106,120.0,131.0,28.0,67.0,19.0,3.4
20200106,103.0,124.0,38.0,58.0,30.0,3.1
20200106,108.0,117.0,33.0,63.0,29.0,2.9
20200106,107.0,129.0,25.0,62.0,27.0,2.6
20200106,98.0,107.0,20.0,65.0,18.0,2.0
20200106,110.0,119.0,14.0,70.0,10.0,1.7
20200106,100.0,112.0,16.0,67.0,9.0,1.7
20200106,87.0,102.0,16.0,66.0,7.0,1.4
20200106,108.0,115.0,16.0,62.0,7.0,1.4
20200106,89.0,103.0,15.0,63.0,6.0,1.6
20200106,105.0,118.0,25.0,61.0,7.0,2.2
20200107,100.0,123.0,24.0,62.0,7.0,2.7
20200107,112.0,127.0,41.0,62.0,6.0,4.0
20200107,117.0,149.0,41.0,62.0,6.0,6.6
20200107,89.0,125.0,49.0,62.0,6.0,5.3
20200107,110.0,126.0,55.0,61.0,6.0,4.5
20200107,88.0,104.0,48.0,60.0,6.0,4.3
20200107,46.0,58.0,30.0,50.0,14.0,1.9
20200107,47.0,56.0,25.0,48.0,16.0,1.5
20200107,37.0,46.0,33.0,45.0,28.0,1.7
20200107,35.0,47.0,37.0,44.0,31.0,2.1
20200107,29.0,39.0,25.0,36.0,40.0,0.9
20200107,27.0,35.0,14.0,18.0,51.0,0.7
20200107,24.0,32.0,14.0,24.0,47.0,0.6
20200107,21.0,28.0,12.0,15.0,62.0,0.5
20200107,17.0,23.0,11.0,13.0,66.0,0.6
20200107,12.0,20.0,9.0,12.0,67.0,0.5
20200107,14.0,28.0,9.0,28.0,48.0,0.6
20200107,14.0,40.0,11.0,45.0,30.0,0.7
20200107,20.0,39.0,18.0,62.0,13.0,1.1
20200107,34.0,50.0,19.0,58.0,15.0,1.0
20200107,44.0,75.0,23.0,62.0,10.0,1.2
20200107,44.0,59.0,16.0,62.0,9.0,1.1
20200107,44.0,65.0,18.0,61.0,8.0,1.2
20200107,44.0,65.0,22.0,62.0,8.0,1.3
20200108,44.0,76.0,27.0,62.0,8.0,1.4
20200108,44.0,80.0,26.0,61.0,8.0,1.5
20200108,44.0,62.0,20.0,59.0,9.0,1.2
20200108,44.0,57.0,12.0,57.0,10.0,0.9
20200108,44.0,65.0,11.0,56.0,11.0,0.8
20200108,44.0,47.0,10.0,39.0,27.0,0.6
20200108,44.0,36.0,10.0,47.0,18.0,0.6
20200108,44.0,44.0,18.0,55.0,9.0,0.9
20200108,44.0,51.0,18.0,57.0,10.0,0.9
20200108,44.0,45.0,17.0,55.0,16.0,0.9
20200108,46.0,43.0,16.0,49.0,26.0,0.9
20200108,48.0,44.0,16.0,44.0,34.0,0.9
20200108,35.0,33.0,22.0,23.0,58.0,0.7
20200108,28.0,27.0,15.0,18.0,64.0,0.5
20200108,17.0,21.0,9.0,12.0,72.0,0.4
20200108,13.0,22.0,8.0,12.0,71.0,0.4
20200108,15.0,26.0,6.0,10.0,73.0,0.4
20200108,19.0,29.0,6.0,18.0,59.0,0.4
20200108,24.0,45.0,13.0,61.0,17.0,0.8
20200108,30.0,55.0,11.0,68.0,9.0,0.8
20200108,31.0,59.0,13.0,71.0,8.0,0.8
20200108,35.0,65.0,16.0,70.0,9.0,1.2
20200108,48.0,85.0,28.0,69.0,10.0,1.6
20200108,57.0,97.0,26.0,67.0,9.0,1.5
20200109,57.0,87.0,29.0,65.0,9.0,1.9
20200109,61.0,108.0,33.0,64.0,9.0,1.9
20200109,54.0,86.0,35.0,64.0,8.0,1.7
20200109,55.0,74.0,28.0,62.0,8.0,1.5
20200109,59.0,83.0,28.0,60.0,8.0,1.5
20200109,61.0,98.0,30.0,60.0,10.0,2.1
20200109,94.0,133.0,30.0,65.0,10.0,2.4
20200109,93.0,158.0,35.0,67.0,11.0,2.9
20200109,98.0,193.0,35.0,78.0,12.0,4.5
20200109,86.0,165.0,39.0,86.0,10.0,4.4
20200109,74.0,143.0,53.0,86.0,17.0,2.9
20200109,71.0,128.0,58.0,78.0,17.0,3.3
20200109,62.0,109.0,84.0,81.0,23.0,5.0
20200109,63.0,100.0,80.0,79.0,30.0,5.0
20200109,53.0,69.0,58.0,65.0,38.0,3.4
20200109,45.0,68.0,35.0,55.0,40.0,2.0
20200109,43.0,63.0,22.0,53.0,37.0,1.2
20200109,41.0,55.0,10.0,60.0,23.0,0.7
20200109,43.0,58.0,12.0,73.0,12.0,0.8
20200109,45.0,81.0,15.0,79.0,8.0,1.1
20200109,80.0,100.0,23.0,83.0,9.0,1.4
20200109,82.0,94.0,21.0,87.0,8.0,1.4
20200109,83.0,119.0,25.0,96.0,7.0,1.8
20200109,116.0,144.0,25.0,104.0,8.0,2.3
20200110,122.0,163.0,31.0,100.0,8.0,2.7
20200110,103.0,155.0,30.0,96.0,8.0,2.1
20200110,120.0,155.0,29.0,98.0,8.0,1.9
20200110,111.0,150.0,32.0,95.0,8.0,2.3
20200110,100.0,162.0,30.0,95.0,9.0,2.6
20200110,101.0,114.0,26.0,90.0,8.0,2.3
20200110,106.0,152.0,22.0,86.0,8.0,2.2
20200110,101.0,146.0,30.0,86.0,8.0,2.1
20200110,106.0,156.0,30.0,91.0,9.0,2.2
20200110,116.0,162.0,25.0,90.0,9.0,2.2
20200110,112.0,151.0,33.0,94.0,10.0,2.1
20200110,106.0,144.0,32.0,88.0,14.0,2.2
20200110,88.0,122.0,34.0,81.0,19.0,2.3
20200110,78.0,110.0,30.0,71.0,28.0,1.8
20200110,75.0,82.0,22.0,72.0,32.0,1.7
20200110,49.0,78.0,19.0,51.0,47.0,1.4
