date,hour,AQI,PM2.5,PM10,SO2,NO2,O3,CO
20210101,0,,,,,,,
20210101,1,78,57,69,16,70,7,1
20210101,2,,,,,,,
20210101,3,,,,18,71,7,1.1
20210101,4,60,43,66,19,69,6,1.2
,5,,,,,,,
,6,,,,,,,
20210101,7,70,51,77,18,68,8,1.7
20210101,8,82,60,108,42,73,9,2.9
20210101,9,105,59,159,74,76,13,4.4
20210101,10,86,49,122,46,68,17,3.3
20210101,11,86,43,121,69,67,24,4.4
20210101,12,72,42,93,53,52,34,3.1
20210101,13,64,32,77,24,41,38,1.2
,14,,,,,,,
20210101,15,55,28,60,16,39,45,1
20210101,16,55,30,60,15,39,42,0.8
20210101,17,,,,,,,
20210101,18,,,,,,,
20210101,19,54,35,57,10,42,34,0.8
20210101,20,69,50,44,14,42,34,1.3
20210101,21,60,43,54,23,53,20,1.9
20210101,22,55,38,60,24,51,21,1.8
20210101,23,52,36,46,20,48,23,1.6
20210102,0,59,42,56,28,58,16,2.3
20210102,1,63,45,63,35,63,10,2.4
20210102,2,62,44,67,42,67,6,2.8
20210102,3,63,45,70,45,68,6,2.9
20210102,4,72,52,82,52,69,7,3.1
20210102,5,75,55,81,55,67,7,3.4
20210102,6,64,46,71,58,65,6,2.9
20210102,7,65,47,69,49,64,7,2.9
20210102,8,69,50,78,40,62,8,3.6
20210102,9,80,59,102,48,61,11,5.9
20210102,10,104,78,109,52,60,14,5
20210102,11,118,89,129,54,60,18,4.7
20210102,12,88,55,125,52,60,23,4.4
20210102,13,99,74,98,42,50,32,3
20210102,14,79,58,100,35,50,36,2.6
20210102,15,103,77,116,31,53,35,2.2
20210102,16,100,75,119,26,56,32,1.9
20210102,17,100,75,113,24,65,23,2
20210102,18,112,84,131,25,84,8,2.4
20210102,19,113,85,128,25,86,7,2.5
20210102,20,107,80,152,26,74,8,1.9
20210102,21,109,82,140,26,70,7,2.1
20210102,22,110,83,144,29,70,8,2.3
20210102,23,119,90,152,38,70,8,2.3
20210103,0,132,100,147,29,69,9,2.7
20210103,1,168,127,172,33,68,9,3.6
20210103,2,,,,,,,
