datetime,PM10,SO2,NO2,O3,CO,Relative_Humidity_2m(%),Temperature,Target
2020/1/1 0:00,77,24,57,9,1.5,25,-8.9,54
2020/1/1 1:00,84,21,56,8,1.3,24,-8.3,51
2020/1/1 2:00,97,24,58,8,1.5,25,-8.6,55
2020/1/1 3:00,107,29,62,9,1.6,24,-7.9,60
2020/1/1 4:00,109,26,60,9,1.5,25,-8.8,59
2020/1/1 5:00,122,30,58,9,1.6,25,-9.1,61
2020/1/1 6:00,124,38,62,10,1.7,27,-9.9,68
2020/1/1 7:00,133,46,64,11,2.1,28,-10.1,91
2020/1/1 8:00,160,43,67,12,2.6,31,-10.1,97
2020/1/1 9:00,141,36,69,12,2.4,26,-7.4,83
2020/1/1 10:00,161,36,77,12,2.5,21,-4.6,105
2020/1/1 11:00,162,59,76,12,2.9,18,-2.6,87
2020/1/1 12:00,143,58,67,15,3.1,17,-1.2,71
2020/1/1 13:00,126,35,64,18,2.1,16,-0.4,59
2020/1/1 14:00,107,28,63,20,1.5,15,0.1,60
2020/1/1 15:00,105,24,61,20,1.2,15,0.1,53
2020/1/1 16:00,108,25,62,17,1.3,16,-0.4,55
2020/1/1 17:00,99,23,67,13,1.2,21,-3.9,62
2020/1/1 18:00,115,25,74,9,1.4,29,-4.9,58
2020/1/1 19:00,131,30,77,8,1.5,51,-6.4,79
2020/1/1 20:00,166,44,85,11,2.2,54,-4.6,107
2020/1/1 21:00,186,47,93,12,2.5,58,-5.1,134
2020/1/1 22:00,181,45,96,12,2.6,67,-6.7,120
2020/1/1 23:00,172,40,94,11,2.4,67,-6.7,122
2020/1/2 0:00,168,44,90,10,3.3,67,-7.2,135
2020/1/2 1:00,179,43,92,9,2.6,62,-7.4,118
2020/1/2 2:00,197,44,90,11,3.6,55,-7.3,148
2020/1/2 3:00,257,48,87,13,4.3,49,-6.7,162
2020/1/2 4:00,231,50,89,12,4.1,45,-6,145
2020/1/2 5:00,233,56,95,11,4.1,50,-7.5,149
2020/1/2 6:00,238,58,93,11,4.4,50,-8.2,140
2020/1/2 7:00,230,58,91,13,3.5,45,-8.3,145
2020/1/2 8:00,170,44,76,11,2.6,49,-7.8,115
2020/1/2 9:00,170,39,75,12,2.5,40,-5.3,97
2020/1/2 10:00,145,33,69,12,2,31,-2.6,97
2020/1/2 11:00,124,22,54,18,1.4,24,-0.4,80
2020/1/2 12:00,129,20,55,23,1.2,21,1.2,58
2020/1/2 13:00,101,18,51,27,1.2,19,2,59
2020/1/2 14:00,76,16,50,26,1,19,2.4,53
2020/1/2 15:00,81,14,51,23,0.9,19,2.3,44
2020/1/2 16:00,95,14,60,14,1,23,0.1,46
2020/1/2 17:00,114,19,62,10,1.2,28,-2.4,54
2020/1/2 18:00,122,22,68,9,1.4,31,-3.6,62
2020/1/2 19:00,117,24,66,8,1.4,29,-2.9,78
2020/1/2 20:00,127,26,67,9,1.6,27,-0.6,76
2020/1/2 21:00,107,24,65,8,1.3,27,-0.7,60
2020/1/2 22:00,138,33,69,10,2.4,29,-1.5,97
2020/1/2 23:00,172,48,74,11,3.5,33,-3.1,122
2020/1/3 0:00,158,41,74,9,2.9,36,-4.4,109
2020/1/3 1:00,133,31,70,9,3,40,-5.2,97
2020/1/3 2:00,174,40,80,10,3.8,37,-4,100
2020/1/3 3:00,161,36,84,10,2.7,41,-5.5,98
2020/1/3 4:00,171,36,80,10,3.1,43,-5.8,110
2020/1/3 5:00,171,35,78,10,2.7,44,-6,122
2020/1/3 6:00,204,43,86,11,3.2,44,-6,122
2020/1/3 7:00,275,50,117,12,3.9,44,-5.8,180
2020/1/3 8:00,320,60,164,14,5,51,-6.4,200
2020/1/3 9:00,300,54,125,13,5,41,-3.6,204
2020/1/3 10:00,294,56,106,12,4.4,31,-0.4,181
2020/1/3 11:00,251,49,100,12,3.8,26,2.1,173
2020/1/3 12:00,175,27,80,15,2.4,23,3.9,101
2020/1/3 13:00,93,16,62,24,1.3,22,5.1,47
2020/1/3 14:00,103,16,71,20,1.3,21,5.6,54
2020/1/3 15:00,105,16,78,17,1.3,22,5.5,56
2020/1/3 16:00,107,16,83,15,1.2,29,1.6,55
2020/1/3 17:00,140,24,91,10,1.6,37,-1.3,81
2020/1/3 18:00,156,25,95,11,1.8,41,-2.7,97
2020/1/3 19:00,163,25,92,9,1.8,44,-3.4,111
2020/1/3 20:00,177,31,96,10,2.1,47,-3.2,121
2020/1/3 21:00,194,48,101,11,2.6,48,-2.9,131
2020/1/3 22:00,175,40,99,11,2.5,51,-3.6,126
2020/1/3 23:00,186,35,92,10,2.4,51,-3.6,97
2020/1/4 0:00,175,30,91,8,2.3,51,-3.9,116
2020/1/4 1:00,187,36,93,8,2.6,50,-3.6,115
2020/1/4 2:00,191,34,94,8,2.6,49,-3.7,126
2020/1/4 3:00,189,30,97,8,2.7,52,-4.3,118
2020/1/4 4:00,220,34,98,8,2.8,55,-4.8,147
2020/1/4 5:00,210,32,98,8,2.7,54,-4.5,135
2020/1/4 6:00,218,33,101,9,2.8,56,-5.1,137
2020/1/4 7:00,188,30,95,10,2.5,52,-4.3,135
2020/1/4 8:00,231,38,95,11,3.2,53,-3.8,162
2020/1/4 9:00,251,44,102,12,3.8,36,0.5,175
2020/1/4 10:00,251,50,105,12,4.3,29,2.7,152
2020/1/4 11:00,96,29,67,18,2.3,25,4.4,55
2020/1/4 12:00,70,26,54,31,2,23,5.6,41
2020/1/4 13:00,57,33,43,43,1.6,23,6.1,23
2020/1/4 14:00,54,40,48,43,2.1,23,6.2,24
2020/1/4 15:00,49,17,28,59,0.9,25,5.8,18
2020/1/4 16:00,43,13,38,52,0.8,33,2.6,24
2020/1/4 17:00,52,14,56,30,0.9,50,-2,32
2020/1/4 18:00,77,16,58,26,0.8,50,-1.1,45
2020/1/4 19:00,104,17,62,20,0.8,55,-2.3,51
2020/1/4 20:00,61,18,50,31,0.7,70,-2.3,50
2020/1/4 21:00,61,16,38,40,0.6,79,-2.9,44
2020/1/4 22:00,60,20,44,33,0.7,83,-3.2,43
2020/1/4 23:00,95,37,57,20,2.1,85,-3.3,45
2020/1/5 0:00,117,32,72,8,6.3,86,-3.5,54
2020/1/5 1:00,98,29,75,6,3.4,87,-3.7,50
2020/1/5 2:00,98,50,74,6,3.4,87,-3.8,56
2020/1/5 3:00,123,84,72,8,3.5,87,-4,59
2020/1/5 4:00,131,77,69,8,3.6,86,-4.1,64
2020/1/5 5:00,120,78,71,8,4.2,84,-4.3,61
2020/1/5 6:00,120,83,72,8,4.9,81,-4.1,80
2020/1/5 7:00,139,87,72,8,5.5,76,-3.6,81
2020/1/5 8:00,157,113,77,9,6.9,75,-3.2,97
2020/1/5 9:00,190,136,82,10,8.1,64,-1.4,94
2020/1/5 10:00,184,139,84,11,8.5,54,0.6,103
2020/1/5 11:00,170,107,80,14,5.7,50,2.4,84
