date,hour,AQI,PM2.5,PM10,SO2,NO2,O3,CO
20200101,0,,,,,,,
20200101,1,,,,,,,
20200101,2,,,,,,,
20200101,3,,,,,,,
20200101,4,,,,,,,
20200101,5,,,,,,,
20200101,6,,,,,,,
20200101,7,,,,,,,
20200101,8,,,,,,,
20200101,9,,,,,,,
20200101,10,,,,,,,
20200101,11,,,,,,,
20200101,12,,,,,,,
20200101,13,,,,,,,
20200101,14,,,,,,,
20200101,15,,,,,,,
20200101,16,14.0,,,,,14.0,1.4
20200101,17,,,,,108.0,9.0,2.0
20200101,18,48.0,,,143.0,,6.0,4.1
20200101,19,40.0,6.0,11.0,41.0,80.0,6.0,
20200101,20,183.0,138.0,258.0,30.0,81.0,,2.6
20200101,21,129.0,70.0,207.0,31.0,83.0,8.0,2.6
20200101,22,135.0,103.0,188.0,38.0,81.0,10.0,3.1
20200101,23,150.0,115.0,222.0,36.0,86.0,9.0,2.9
20200102,0,159.0,121.0,195.0,44.0,88.0,10.0,3.5
20200102,1,179.0,135.0,237.0,53.0,86.0,9.0,4.7
20200102,2,207.0,157.0,272.0,66.0,86.0,9.0,5.8
20200102,3,174.0,128.0,297.0,61.0,83.0,8.0,5.7
20200102,4,182.0,137.0,294.0,58.0,85.0,8.0,5.5
20200102,5,183.0,138.0,266.0,58.0,86.0,8.0,5.6
20200102,6,156.0,119.0,254.0,48.0,80.0,8.0,5.7
20200102,7,178.0,134.0,264.0,48.0,76.0,8.0,4.3
20200102,8,144.0,110.0,234.0,45.0,72.0,9.0,3.6
20200102,9,129.0,98.0,207.0,39.0,72.0,9.0,3.4
20200102,10,127.0,96.0,188.0,26.0,56.0,14.0,2.2
20200102,11,102.0,76.0,133.0,,51.0,19.0,2.0
20200102,12,,,,21.0,,21.0,2.1
20200102,13,108.0,66.0,166.0,19.0,74.0,26.0,
20200102,14,84.0,62.0,113.0,18.0,78.0,,
20200102,15,84.0,62.0,96.0,17.0,68.0,19.0,0.8
20200102,16,89.0,66.0,95.0,15.0,73.0,12.0,0.8
20200102,17,84.0,62.0,113.0,16.0,76.0,7.0,0.8
20200102,18,119.0,90.0,149.0,17.0,69.0,5.0,0.9
20200102,19,115.0,87.0,137.0,21.0,74.0,6.0,1.1
20200102,20,87.0,64.0,115.0,22.0,74.0,6.0,1.1
20200102,21,83.0,58.0,115.0,27.0,75.0,7.0,1.3
20200102,22,95.0,61.0,140.0,40.0,82.0,8.0,1.9
20200102,23,140.0,107.0,185.0,41.0,82.0,7.0,2.2
20200103,0,130.0,99.0,167.0,46.0,84.0,8.0,2.3
20200103,1,150.0,115.0,213.0,41.0,79.0,8.0,2.0
20200103,2,129.0,98.0,171.0,50.0,82.0,9.0,2.5
20200103,3,176.0,133.0,218.0,48.0,80.0,8.0,2.8
20200103,4,172.0,130.0,257.0,42.0,80.0,7.0,3.2
20200103,5,186.0,140.0,248.0,45.0,84.0,8.0,3.2
