date,hour,AQI,PM2.5,PM10,SO2,NO2,O3,CO
20240101,0,79.0,57.0,107.0,8.0,48.0,16.0,0.9
20240101,1,128.0,97.0,156.0,7.0,56.0,11.0,1.2
20240101,2,125.0,95.0,146.0,7.0,59.0,12.0,1.4
20240101,3,108.0,81.0,127.0,6.0,57.0,11.0,1.4
20240101,4,124.0,94.0,144.0,6.0,55.0,10.0,1.3
20240101,5,118.0,89.0,141.0,7.0,57.0,10.0,1.2
20240101,6,115.0,87.0,137.0,5.0,56.0,10.0,1.1
20240101,7,100.0,75.0,121.0,4.0,56.0,9.0,1.1
20240101,8,97.0,72.0,115.0,4.0,56.0,9.0,1.1
20240101,9,93.0,69.0,124.0,4.0,54.0,12.0,1.1
20240101,10,123.0,93.0,135.0,3.0,49.0,16.0,0.9
20240101,11,93.0,69.0,114.0,2.0,38.0,23.0,0.7
20240101,12,115.0,87.0,126.0,2.0,33.0,33.0,0.8
20240101,13,134.0,102.0,138.0,2.0,28.0,43.0,0.8
20240101,14,135.0,103.0,142.0,1.0,34.0,40.0,0.8
20240101,15,142.0,108.0,135.0,1.0,32.0,47.0,0.8
20240101,16,129.0,98.0,143.0,1.0,38.0,41.0,0.8
20240101,17,140.0,107.0,144.0,3.0,50.0,26.0,0.9
20240101,18,156.0,119.0,158.0,1.0,65.0,10.0,1.0
20240101,19,186.0,140.0,183.0,1.0,60.0,12.0,1.2
20240101,20,202.0,152.0,193.0,2.0,60.0,13.0,1.4
20240101,21,193.0,145.0,184.0,2.0,56.0,14.0,1.2
20240101,22,186.0,140.0,168.0,2.0,48.0,20.0,1.3
20240101,23,173.0,131.0,170.0,1.0,51.0,13.0,1.1
20240102,0,169.0,128.0,167.0,1.0,52.0,14.0,1.0
20240102,1,155.0,118.0,170.0,3.0,51.0,14.0,1.0
20240102,2,170.0,129.0,162.0,3.0,44.0,20.0,0.9
20240102,3,182.0,137.0,170.0,3.0,46.0,14.0,1.0
20240102,4,163.0,124.0,167.0,3.0,48.0,12.0,1.0
20240102,5,150.0,115.0,171.0,3.0,49.0,10.0,1.0
20240102,6,159.0,121.0,174.0,3.0,50.0,10.0,1.0
20240102,7,183.0,138.0,193.0,3.0,49.0,10.0,1.0
20240102,8,166.0,126.0,146.0,3.0,51.0,11.0,1.1
20240102,9,162.0,123.0,133.0,3.0,46.0,15.0,1.2
20240102,10,,,,3.0,47.0,,
20240102,11,,,,3.0,,26.0,
20240102,12,152.0,116.0,148.0,3.0,,24.0,1.0
20240102,13,172.0,130.0,164.0,,44.0,26.0,1.1
20240102,14,162.0,123.0,152.0,3.0,41.0,31.0,1.0
20240102,15,176.0,133.0,146.0,3.0,42.0,29.0,1.0
20240102,16,150.0,115.0,149.0,3.0,48.0,20.0,1.0
20240102,17,127.0,96.0,135.0,1.0,54.0,12.0,1.0
20240102,18,147.0,112.0,144.0,1.0,57.0,9.0,1.2
20240102,19,188.0,141.0,180.0,2.0,62.0,10.0,1.5
20240102,20,173.0,131.0,166.0,5.0,55.0,12.0,1.6
20240102,21,153.0,117.0,166.0,5.0,57.0,11.0,1.6
20240102,22,159.0,121.0,162.0,3.0,57.0,10.0,1.3
20240102,23,155.0,118.0,150.0,2.0,58.0,10.0,1.3
20240103,0,132.0,100.0,145.0,1.0,56.0,10.0,1.2
20240103,1,99.0,74.0,116.0,1.0,53.0,10.0,1.1
20240103,2,75.0,54.0,99.0,3.0,49.0,10.0,0.9
20240103,3,55.0,39.0,60.0,3.0,42.0,15.0,0.6
20240103,4,51.0,25.0,51.0,3.0,43.0,14.0,0.6
20240103,5,44.0,22.0,44.0,3.0,39.0,19.0,0.6
20240103,6,34.0,21.0,34.0,3.0,25.0,35.0,0.4
20240103,7,37.0,12.0,37.0,3.0,35.0,22.0,0.4
20240103,8,41.0,26.0,41.0,1.0,41.0,18.0,0.5
20240103,9,51.0,24.0,51.0,1.0,44.0,19.0,0.6
20240103,10,56.0,28.0,62.0,1.0,40.0,27.0,0.6
20240103,11,36.0,5.0,36.0,4.0,20.0,52.0,0.4
20240103,12,30.0,8.0,30.0,3.0,10.0,67.0,0.3
20240103,13,24.0,9.0,22.0,3.0,4.0,75.0,0.3
20240103,14,23.0,2.0,17.0,3.0,6.0,73.0,0.3
20240103,15,22.0,15.0,22.0,3.0,8.0,69.0,0.3
20240103,16,21.0,3.0,21.0,3.0,12.0,63.0,0.3
20240103,17,27.0,11.0,27.0,3.0,15.0,55.0,0.3
20240103,18,38.0,11.0,38.0,3.0,41.0,22.0,0.5
20240103,19,42.0,18.0,42.0,1.0,45.0,14.0,0.5
20240103,20,56.0,32.0,61.0,4.0,57.0,9.0,0.7
20240103,21,74.0,54.0,87.0,5.0,61.0,9.0,1.3
20240103,22,82.0,60.0,99.0,5.0,65.0,9.0,1.3
20240103,23,85.0,63.0,91.0,3.0,66.0,10.0,1.4
20240104,0,95.0,71.0,87.0,4.0,66.0,10.0,1.4
20240104,1,99.0,74.0,94.0,3.0,67.0,10.0,1.0
